Date,Company,Country,Pacient_Category,Treatments,Avg treatment time in minutes
10/01/2022 00:00,VetGroup,Portugal,Birds,1,91.01
10/01/2022 00:00,VetGroup,Spain,Dogs,31,35.78
10/01/2022 00:00,VetGroup,Spain,Cats,8,93.47
10/01/2022 00:00,VetGroup,Spain,Birds,1,55.29
10/01/2022 00:00,VetGroup,France,Dogs,22,98.54
10/01/2022 00:00,VetGroup,France,Cats,15,72.44
10/01/2022 00:00,VetGroup,France,Birds,2,72.53
10/01/2022 00:00,VetGroup,Germany,Dogs,18,131.49
10/01/2022 00:00,VetGroup,Germany,Cats,5,106.39
10/01/2022 00:00,VetGroup,Germany,Birds,1,81.18
10/01/2022 00:00,VetGroup,Italy,Dogs,15,45.47
10/01/2022 00:00,VetGroup,Italy,Cats,12,56.28
10/01/2022 00:00,VetGroup,Italy,Birds,2,35.62
10/01/2022 00:00,VetGroup,Poland,Dogs,39,18.56
10/01/2022 00:00,VetGroup,Poland,Cats,14,23.18
10/01/2022 00:00,VetGroup,Poland,Birds,1,53.28
11/01/2022 00:00,VetGroup,Portugal,Dogs,8,37.77
11/01/2022 00:00,VetGroup,Portugal,Cats,4,51.38
11/01/2022 00:00,VetGroup,Portugal,Birds,1,420.82
11/01/2022 00:00,VetGroup,Spain,Dogs,20,40.2
11/01/2022 00:00,VetGroup,Spain,Cats,8,46.38
11/01/2022 00:00,VetGroup,Spain,Birds,1,139.71
11/01/2022 00:00,VetGroup,France,Dogs,19,106.22
11/01/2022 00:00,VetGroup,France,Cats,11,76.16
11/01/2022 00:00,VetGroup,France,Birds,1,124.52
11/01/2022 00:00,VetGroup,Germany,Dogs,13,123.35
11/01/2022 00:00,VetGroup,Germany,Cats,7,86.14
11/01/2022 00:00,VetGroup,Italy,Dogs,8,59.93
11/01/2022 00:00,VetGroup,Italy,Cats,6,25.29
11/01/2022 00:00,VetGroup,Italy,Birds,1,67.06
11/01/2022 00:00,VetGroup,Poland,Dogs,31,19.14
11/01/2022 00:00,VetGroup,Poland,Cats,14,20.24
11/01/2022 00:00,VetGroup,Poland,Birds,1,58.05
12/01/2022 00:00,VetGroup,Portugal,Dogs,6,41.4
12/01/2022 00:00,VetGroup,Portugal,Cats,3,100.46
12/01/2022 00:00,VetGroup,Portugal,Birds,1,54.12
12/01/2022 00:00,VetGroup,Spain,Dogs,17,50.36
12/01/2022 00:00,VetGroup,Spain,Cats,10,37.44
12/01/2022 00:00,VetGroup,France,Dogs,14,110.63
12/01/2022 00:00,VetGroup,France,Cats,8,87.84
12/01/2022 00:00,VetGroup,France,Birds,1,118.67
12/01/2022 00:00,VetGroup,Germany,Dogs,15,142.17
12/01/2022 00:00,VetGroup,Germany,Cats,6,96.39
12/01/2022 00:00,VetGroup,Germany,Birds,1,167.06
12/01/2022 00:00,VetGroup,Italy,Dogs,8,34.91
12/01/2022 00:00,VetGroup,Italy,Cats,8,30.64
12/01/2022 00:00,VetGroup,Italy,Birds,1,43.53
12/01/2022 00:00,VetGroup,Poland,Dogs,25,20.69
12/01/2022 00:00,VetGroup,Poland,Cats,10,24.01
12/01/2022 00:00,VetGroup,Poland,Birds,1,30.78
13/01/2022 00:00,VetGroup,Portugal,Dogs,8,35.39
13/01/2022 00:00,VetGroup,Portugal,Cats,4,50.06
13/01/2022 00:00,VetGroup,Portugal,Birds,1,79.88
13/01/2022 00:00,VetGroup,Spain,Dogs,16,49.78
13/01/2022 00:00,VetGroup,Spain,Cats,8,59.67
13/01/2022 00:00,VetGroup,Spain,Birds,1,113.53
13/01/2022 00:00,VetGroup,France,Dogs,19,101.92
13/01/2022 00:00,VetGroup,France,Cats,9,85.41
13/01/2022 00:00,VetGroup,France,Birds,1,69.21
13/01/2022 00:00,VetGroup,Germany,Dogs,15,117.18
13/01/2022 00:00,VetGroup,Germany,Cats,7,127.04
13/01/2022 00:00,VetGroup,Germany,Birds,1,292.35
13/01/2022 00:00,VetGroup,Italy,Dogs,10,61.66
13/01/2022 00:00,VetGroup,Italy,Cats,5,33.83
13/01/2022 00:00,VetGroup,Italy,Birds,1,104.71
13/01/2022 00:00,VetGroup,Poland,Dogs,30,18.28
13/01/2022 00:00,VetGroup,Poland,Cats,11,19.77
13/01/2022 00:00,VetGroup,Poland,Birds,1,55.19
14/01/2022 00:00,VetGroup,Portugal,Dogs,7,41.96
14/01/2022 00:00,VetGroup,Portugal,Cats,4,49.22
14/01/2022 00:00,VetGroup,Portugal,Birds,1,58.34
14/01/2022 00:00,VetGroup,Spain,Dogs,26,43.83
14/01/2022 00:00,VetGroup,Spain,Cats,10,45.29
14/01/2022 00:00,VetGroup,Spain,Birds,1,5.88
14/01/2022 00:00,VetGroup,France,Dogs,19,115.94
14/01/2022 00:00,VetGroup,France,Cats,10,79.91
14/01/2022 00:00,VetGroup,France,Birds,1,82.01
14/01/2022 00:00,VetGroup,Germany,Dogs,20,128.52
14/01/2022 00:00,VetGroup,Germany,Cats,7,123.36
14/01/2022 00:00,VetGroup,Italy,Dogs,9,54.59
14/01/2022 00:00,VetGroup,Italy,Cats,6,26.21
14/01/2022 00:00,VetGroup,Italy,Birds,1,36.47
14/01/2022 00:00,VetGroup,Poland,Dogs,28,17.89
14/01/2022 00:00,VetGroup,Poland,Cats,11,32.64
14/01/2022 00:00,VetGroup,Poland,Birds,1,51.6
17/01/2022 00:00,VetGroup,Portugal,Dogs,10,45.06
17/01/2022 00:00,VetGroup,Portugal,Cats,6,32.49
17/01/2022 00:00,VetGroup,Portugal,Birds,1,101.45
17/01/2022 00:00,VetGroup,Spain,Dogs,17,69.41
17/01/2022 00:00,VetGroup,Spain,Cats,9,59.24
17/01/2022 00:00,VetGroup,Spain,Birds,1,15.59
17/01/2022 00:00,VetGroup,France,Dogs,19,113.38
17/01/2022 00:00,VetGroup,France,Cats,13,74.71
17/01/2022 00:00,VetGroup,France,Birds,2,105.19
17/01/2022 00:00,VetGroup,Germany,Dogs,20,116.28
17/01/2022 00:00,VetGroup,Germany,Cats,6,102.75
17/01/2022 00:00,VetGroup,Germany,Birds,1,198.82
17/01/2022 00:00,VetGroup,Italy,Dogs,9,56.53
17/01/2022 00:00,VetGroup,Italy,Cats,4,35.34
17/01/2022 00:00,VetGroup,Italy,Birds,1,45.29
17/01/2022 00:00,VetGroup,Poland,Dogs,38,17.91
17/01/2022 00:00,VetGroup,Poland,Cats,15,23.26
17/01/2022 00:00,VetGroup,Poland,Birds,1,40.61
18/01/2022 00:00,VetGroup,Portugal,Dogs,7,41.61
18/01/2022 00:00,VetGroup,Portugal,Cats,3,42.36
18/01/2022 00:00,VetGroup,Portugal,Birds,1,112.94
18/01/2022 00:00,VetGroup,Spain,Dogs,25,39.69
18/01/2022 00:00,VetGroup,Spain,Cats,6,40.91
18/01/2022 00:00,VetGroup,Greece,Cats,1,249.41
18/01/2022 00:00,VetGroup,France,Dogs,17,107.59
18/01/2022 00:00,VetGroup,France,Cats,11,84.04
18/01/2022 00:00,VetGroup,France,Birds,1,98.04
18/01/2022 00:00,VetGroup,Germany,Dogs,16,138.76
18/01/2022 00:00,VetGroup,Germany,Cats,6,103.41
18/01/2022 00:00,VetGroup,Germany,Birds,1,549.41
18/01/2022 00:00,VetGroup,Italy,Dogs,7,50.63
18/01/2022 00:00,VetGroup,Italy,Cats,7,28.99
18/01/2022 00:00,VetGroup,Italy,Birds,1,100.29
18/01/2022 00:00,VetGroup,Poland,Dogs,26,20.22
18/01/2022 00:00,VetGroup,Poland,Cats,9,26
18/01/2022 00:00,VetGroup,Poland,Birds,1,36.58
19/01/2022 00:00,VetGroup,Portugal,Dogs,6,43.55
19/01/2022 00:00,VetGroup,Portugal,Cats,3,55.12
19/01/2022 00:00,VetGroup,Portugal,Birds,1,42.52
19/01/2022 00:00,VetGroup,Spain,Dogs,21,47.57
19/01/2022 00:00,VetGroup,Spain,Cats,6,49.44
19/01/2022 00:00,VetGroup,Spain,Birds,1,326.47
19/01/2022 00:00,VetGroup,France,Dogs,13,113.68
19/01/2022 00:00,VetGroup,France,Cats,8,89.02
19/01/2022 00:00,VetGroup,France,Birds,2,53.99
19/01/2022 00:00,VetGroup,Germany,Dogs,17,124.45
19/01/2022 00:00,VetGroup,Germany,Cats,6,106.14
19/01/2022 00:00,VetGroup,Germany,Birds,1,114.12
19/01/2022 00:00,VetGroup,Italy,Dogs,6,45.93
19/01/2022 00:00,VetGroup,Italy,Cats,7,39.33
19/01/2022 00:00,VetGroup,Italy,Birds,1,31.65
19/01/2022 00:00,VetGroup,Poland,Dogs,21,20.42
19/01/2022 00:00,VetGroup,Poland,Cats,9,25.39
19/01/2022 00:00,VetGroup,Poland,Birds,1,32.07
20/01/2022 00:00,VetGroup,Portugal,Dogs,8,36.61
20/01/2022 00:00,VetGroup,Portugal,Cats,4,67.17
20/01/2022 00:00,VetGroup,Portugal,Birds,1,37.78
20/01/2022 00:00,VetGroup,Spain,Dogs,19,66.95
20/01/2022 00:00,VetGroup,Spain,Cats,8,44.38
20/01/2022 00:00,VetGroup,Spain,Birds,1,120.29
20/01/2022 00:00,VetGroup,France,Dogs,17,107.59
20/01/2022 00:00,VetGroup,France,Cats,10,83.24
20/01/2022 00:00,VetGroup,France,Birds,2,55.3
20/01/2022 00:00,VetGroup,Germany,Dogs,18,113.6
20/01/2022 00:00,VetGroup,Germany,Cats,5,71.45
20/01/2022 00:00,VetGroup,Germany,Birds,1,92.75
20/01/2022 00:00,VetGroup,Italy,Dogs,8,77.55
20/01/2022 00:00,VetGroup,Italy,Cats,6,51.05
20/01/2022 00:00,VetGroup,Italy,Birds,1,85.74
20/01/2022 00:00,VetGroup,Poland,Dogs,27,19.56
20/01/2022 00:00,VetGroup,Poland,Cats,10,23.38
20/01/2022 00:00,VetGroup,Poland,Birds,1,26.11
21/01/2022 00:00,VetGroup,Portugal,Dogs,8,37.25
21/01/2022 00:00,VetGroup,Portugal,Cats,3,34.98
21/01/2022 00:00,VetGroup,Portugal,Birds,1,80.15
21/01/2022 00:00,VetGroup,Spain,Dogs,19,54.25
21/01/2022 00:00,VetGroup,Spain,Cats,6,28.82
21/01/2022 00:00,VetGroup,Spain,Birds,1,70.39
21/01/2022 00:00,VetGroup,France,Dogs,17,97.3
21/01/2022 00:00,VetGroup,France,Cats,10,66.27
21/01/2022 00:00,VetGroup,France,Birds,1,150.26
21/01/2022 00:00,VetGroup,Germany,Dogs,18,137.29
21/01/2022 00:00,VetGroup,Germany,Cats,6,96.33
21/01/2022 00:00,VetGroup,Germany,Birds,1,101.76
21/01/2022 00:00,VetGroup,Italy,Dogs,8,42.88
21/01/2022 00:00,VetGroup,Italy,Cats,6,25.64
21/01/2022 00:00,VetGroup,Italy,Birds,1,38.59
21/01/2022 00:00,VetGroup,Poland,Dogs,27,18.48
21/01/2022 00:00,VetGroup,Poland,Cats,8,21.84
21/01/2022 00:00,VetGroup,Poland,Birds,1,16.91
24/01/2022 00:00,VetGroup,Portugal,Dogs,9,31.38
24/01/2022 00:00,VetGroup,Portugal,Cats,4,37.82
24/01/2022 00:00,VetGroup,Portugal,Birds,1,45.29
24/01/2022 00:00,VetGroup,Spain,Dogs,19,39.72
24/01/2022 00:00,VetGroup,Spain,Cats,6,26.64
24/01/2022 00:00,VetGroup,Spain,Birds,1,41.76
24/01/2022 00:00,VetGroup,France,Dogs,20,97.78
24/01/2022 00:00,VetGroup,France,Cats,11,67.47
24/01/2022 00:00,VetGroup,France,Birds,2,64.51
24/01/2022 00:00,VetGroup,Germany,Dogs,14,102.66
24/01/2022 00:00,VetGroup,Germany,Cats,6,72.22
24/01/2022 00:00,VetGroup,Germany,Birds,1,177.35
24/01/2022 00:00,VetGroup,Italy,Dogs,8,54.42
24/01/2022 00:00,VetGroup,Italy,Cats,7,30.62
24/01/2022 00:00,VetGroup,Italy,Birds,1,70.15
24/01/2022 00:00,VetGroup,Poland,Dogs,34,17.25
24/01/2022 00:00,VetGroup,Poland,Cats,11,18.83
24/01/2022 00:00,VetGroup,Poland,Birds,1,37.78
25/01/2022 00:00,VetGroup,Portugal,Dogs,8,32.6
25/01/2022 00:00,VetGroup,Portugal,Cats,3,45.43
25/01/2022 00:00,VetGroup,Portugal,Birds,1,122.16
25/01/2022 00:00,VetGroup,Spain,Dogs,20,31.02
25/01/2022 00:00,VetGroup,Spain,Cats,6,53.88
25/01/2022 00:00,VetGroup,Spain,Birds,1,17.65
25/01/2022 00:00,VetGroup,France,Dogs,16,95.79
25/01/2022 00:00,VetGroup,France,Cats,8,68.79
25/01/2022 00:00,VetGroup,France,Birds,1,77.28
25/01/2022 00:00,VetGroup,Germany,Dogs,17,119.33
25/01/2022 00:00,VetGroup,Germany,Cats,6,75.71
25/01/2022 00:00,VetGroup,Germany,Birds,1,214.71
25/01/2022 00:00,VetGroup,Italy,Dogs,12,50.62
25/01/2022 00:00,VetGroup,Italy,Cats,7,30.74
25/01/2022 00:00,VetGroup,Italy,Birds,2,92.94
25/01/2022 00:00,VetGroup,Poland,Dogs,27,19.36
25/01/2022 00:00,VetGroup,Poland,Cats,9,23.61
25/01/2022 00:00,VetGroup,Poland,Birds,1,77.06
26/01/2022 00:00,VetGroup,Portugal,Dogs,8,31.14
26/01/2022 00:00,VetGroup,Portugal,Cats,4,39.2
26/01/2022 00:00,VetGroup,Portugal,Birds,1,38.36
26/01/2022 00:00,VetGroup,Spain,Dogs,26,37.38
26/01/2022 00:00,VetGroup,Spain,Cats,10,22.51
26/01/2022 00:00,VetGroup,Spain,Birds,1,334.71
26/01/2022 00:00,VetGroup,France,Dogs,17,96.78
26/01/2022 00:00,VetGroup,France,Cats,10,81.07
26/01/2022 00:00,VetGroup,France,Birds,1,92.99
26/01/2022 00:00,VetGroup,Germany,Dogs,17,128.48
26/01/2022 00:00,VetGroup,Germany,Cats,6,97.71
26/01/2022 00:00,VetGroup,Italy,Dogs,8,38.02
26/01/2022 00:00,VetGroup,Italy,Cats,10,31.15
26/01/2022 00:00,VetGroup,Italy,Birds,1,24.71
26/01/2022 00:00,VetGroup,Poland,Dogs,26,18.64
26/01/2022 00:00,VetGroup,Poland,Cats,10,19.62
26/01/2022 00:00,VetGroup,Poland,Birds,1,57.09
27/01/2022 00:00,VetGroup,Portugal,Dogs,8,31.16
27/01/2022 00:00,VetGroup,Portugal,Cats,4,38.22
27/01/2022 00:00,VetGroup,Portugal,Birds,1,53.53
27/01/2022 00:00,VetGroup,Spain,Dogs,22,37.22
27/01/2022 00:00,VetGroup,Spain,Cats,8,40
27/01/2022 00:00,VetGroup,Spain,Birds,1,60.29
27/01/2022 00:00,VetGroup,France,Dogs,19,90.96
27/01/2022 00:00,VetGroup,France,Cats,12,82.14
27/01/2022 00:00,VetGroup,France,Birds,2,76.86
27/01/2022 00:00,VetGroup,Germany,Dogs,14,114.84
27/01/2022 00:00,VetGroup,Germany,Cats,7,81.08
27/01/2022 00:00,VetGroup,Italy,Dogs,8,38.81
27/01/2022 00:00,VetGroup,Italy,Cats,10,40.05
27/01/2022 00:00,VetGroup,Italy,Birds,1,40.69
27/01/2022 00:00,VetGroup,Poland,Dogs,27,18.55
27/01/2022 00:00,VetGroup,Poland,Cats,10,24.76
27/01/2022 00:00,VetGroup,Poland,Birds,1,58.91
28/01/2022 00:00,VetGroup,Portugal,Dogs,9,31.59
28/01/2022 00:00,VetGroup,Portugal,Cats,4,42.13
28/01/2022 00:00,VetGroup,Portugal,Birds,1,91.72
28/01/2022 00:00,VetGroup,Spain,Dogs,26,25.02
28/01/2022 00:00,VetGroup,Spain,Cats,8,32.02
28/01/2022 00:00,VetGroup,France,Dogs,26,88.87
28/01/2022 00:00,VetGroup,France,Cats,14,73.81
28/01/2022 00:00,VetGroup,France,Birds,1,102.96
28/01/2022 00:00,VetGroup,Germany,Dogs,18,100.46
28/01/2022 00:00,VetGroup,Germany,Cats,6,83.89
28/01/2022 00:00,VetGroup,Germany,Birds,1,274.71
28/01/2022 00:00,VetGroup,Italy,Dogs,8,54.06
28/01/2022 00:00,VetGroup,Italy,Cats,8,44.56
28/01/2022 00:00,VetGroup,Italy,Birds,1,58.24
28/01/2022 00:00,VetGroup,Poland,Dogs,34,16.99
28/01/2022 00:00,VetGroup,Poland,Cats,12,24.37
28/01/2022 00:00,VetGroup,Poland,Birds,1,26.31
31/01/2022 00:00,VetGroup,Portugal,Dogs,12,80.93
31/01/2022 00:00,VetGroup,Portugal,Cats,7,44.97
31/01/2022 00:00,VetGroup,Portugal,Birds,1,79.85
31/01/2022 00:00,VetGroup,Spain,Dogs,25,170.71
31/01/2022 00:00,VetGroup,Spain,Cats,9,30.3
31/01/2022 00:00,VetGroup,Spain,Birds,1,50.71
31/01/2022 00:00,VetGroup,Greece,Dogs,1,3936.47
31/01/2022 00:00,VetGroup,Greece,Cats,1,123.53
31/01/2022 00:00,VetGroup,France,Dogs,25,134.56
31/01/2022 00:00,VetGroup,France,Cats,18,71.28
31/01/2022 00:00,VetGroup,France,Birds,1,104.27
31/01/2022 00:00,VetGroup,Germany,Dogs,19,258.37
31/01/2022 00:00,VetGroup,Germany,Cats,6,90.39
31/01/2022 00:00,VetGroup,Germany,Birds,1,51.18
31/01/2022 00:00,VetGroup,Italy,Dogs,6,39.79
31/01/2022 00:00,VetGroup,Italy,Cats,10,44.09
31/01/2022 00:00,VetGroup,Italy,Birds,2,46.29
31/01/2022 00:00,VetGroup,Poland,Dogs,36,94.46
31/01/2022 00:00,VetGroup,Poland,Cats,16,24.21
31/01/2022 00:00,VetGroup,Poland,Birds,1,23.04
01/02/2022 00:00,VetGroup,Portugal,Dogs,9,53.9
01/02/2022 00:00,VetGroup,Portugal,Cats,6,37.89
01/02/2022 00:00,VetGroup,Portugal,Birds,1,110.95
01/02/2022 00:00,VetGroup,Spain,Dogs,28,123.78
01/02/2022 00:00,VetGroup,Spain,Cats,6,32.18
01/02/2022 00:00,VetGroup,Spain,Birds,1,76.59
01/02/2022 00:00,VetGroup,France,Dogs,21,184.85
01/02/2022 00:00,VetGroup,France,Cats,13,90.55
01/02/2022 00:00,VetGroup,France,Birds,2,118.95
01/02/2022 00:00,VetGroup,Germany,Dogs,22,154.04
01/02/2022 00:00,VetGroup,Germany,Cats,6,124.35
01/02/2022 00:00,VetGroup,Germany,Birds,1,299.22
01/02/2022 00:00,VetGroup,Italy,Dogs,6,143.72
01/02/2022 00:00,VetGroup,Italy,Cats,7,36.05
01/02/2022 00:00,VetGroup,Italy,Birds,2,102.48
01/02/2022 00:00,VetGroup,Poland,Dogs,37,49.96
01/02/2022 00:00,VetGroup,Poland,Cats,14,23.12
01/02/2022 00:00,VetGroup,Poland,Birds,1,31.38
02/02/2022 00:00,VetGroup,Portugal,Dogs,8,39.92
02/02/2022 00:00,VetGroup,Portugal,Cats,5,33.15
02/02/2022 00:00,VetGroup,Portugal,Birds,1,35.35
02/02/2022 00:00,VetGroup,Spain,Dogs,20,37.89
02/02/2022 00:00,VetGroup,Spain,Cats,10,25.87
02/02/2022 00:00,VetGroup,Spain,Birds,1,27.06
02/02/2022 00:00,VetGroup,France,Dogs,18,110.26
02/02/2022 00:00,VetGroup,France,Cats,12,74.02
02/02/2022 00:00,VetGroup,France,Birds,2,91.13
02/02/2022 00:00,VetGroup,Germany,Dogs,17,100.67
02/02/2022 00:00,VetGroup,Germany,Cats,8,89.79
02/02/2022 00:00,VetGroup,Germany,Birds,1,230
02/02/2022 00:00,VetGroup,Italy,Dogs,9,34.72
02/02/2022 00:00,VetGroup,Italy,Cats,9,10374.11
02/02/2022 00:00,VetGroup,Italy,Birds,1,19.71
02/02/2022 00:00,VetGroup,Poland,Dogs,35,17.15
02/02/2022 00:00,VetGroup,Poland,Cats,17,14.61
02/02/2022 00:00,VetGroup,Poland,Birds,1,36.53
03/02/2022 00:00,VetGroup,Portugal,Dogs,9,36.92
03/02/2022 00:00,VetGroup,Portugal,Cats,5,30.27
03/02/2022 00:00,VetGroup,Portugal,Birds,1,41.69
03/02/2022 00:00,VetGroup,Spain,Dogs,16,35.36
03/02/2022 00:00,VetGroup,Spain,Cats,6,40.47
03/02/2022 00:00,VetGroup,Spain,Birds,1,11.76
03/02/2022 00:00,VetGroup,France,Dogs,19,99.97
03/02/2022 00:00,VetGroup,France,Cats,11,73.46
03/02/2022 00:00,VetGroup,France,Birds,2,102.39
03/02/2022 00:00,VetGroup,Germany,Dogs,16,125.18
03/02/2022 00:00,VetGroup,Germany,Cats,6,81.71
03/02/2022 00:00,VetGroup,Italy,Dogs,10,34.3
03/02/2022 00:00,VetGroup,Italy,Cats,8,37.74
03/02/2022 00:00,VetGroup,Italy,Birds,1,39.12
03/02/2022 00:00,VetGroup,Poland,Dogs,31,19.4
03/02/2022 00:00,VetGroup,Poland,Cats,13,19.45
03/02/2022 00:00,VetGroup,Poland,Birds,1,46.89
04/02/2022 00:00,VetGroup,Portugal,Dogs,9,31.39
04/02/2022 00:00,VetGroup,Portugal,Cats,5,33.54
04/02/2022 00:00,VetGroup,Portugal,Birds,1,26.88
04/02/2022 00:00,VetGroup,Spain,Dogs,19,31.63
04/02/2022 00:00,VetGroup,Spain,Cats,7,35.85
04/02/2022 00:00,VetGroup,Spain,Birds,1,13.24
04/02/2022 00:00,VetGroup,France,Dogs,21,85.29
04/02/2022 00:00,VetGroup,France,Cats,11,69.57
04/02/2022 00:00,VetGroup,France,Birds,2,46.08
04/02/2022 00:00,VetGroup,Germany,Dogs,16,109.02
04/02/2022 00:00,VetGroup,Germany,Cats,5,56.21
04/02/2022 00:00,VetGroup,Italy,Dogs,5,41.45
04/02/2022 00:00,VetGroup,Italy,Cats,7,26.82
04/02/2022 00:00,VetGroup,Italy,Birds,2,27.14
04/02/2022 00:00,VetGroup,Poland,Dogs,31,16.76
04/02/2022 00:00,VetGroup,Poland,Cats,12,19.41
04/02/2022 00:00,VetGroup,Poland,Birds,1,24.7
07/02/2022 00:00,VetGroup,Portugal,Dogs,11,35.28
07/02/2022 00:00,VetGroup,Portugal,Cats,5,38.17
07/02/2022 00:00,VetGroup,Portugal,Birds,1,41.89
07/02/2022 00:00,VetGroup,Spain,Dogs,26,72.23
07/02/2022 00:00,VetGroup,Spain,Cats,9,17.55
07/02/2022 00:00,VetGroup,Spain,Birds,1,39.61
07/02/2022 00:00,VetGroup,France,Dogs,23,150.71
07/02/2022 00:00,VetGroup,France,Cats,12,71.42
07/02/2022 00:00,VetGroup,France,Birds,3,43.04
